id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
OSYoTFAfq9_wFyDH_qUsTA,34.097807,-118.362255,$$,5760.0,4.0,90046,Hollywood,the-griddle-cafe-hollywood,"['breakfast_brunch', 'coffee', 'sandwiches']"
5miNhLxuxaW5zLEchv6oPw,34.0905094,-118.3828495,$,1447.0,4.5,90069,West Hollywood,dialog-cafe-west-hollywood,"['cafes', 'breakfast_brunch']"
ki5SNb4Lli6uOklz6BXXGw,34.0837144354804,-118.350571407739,$$,5107.0,4.0,90046,Los Angeles,blu-jam-café-los-angeles-2,"['newamerican', 'breakfast_brunch', 'cafes']"
LlaXbuPQBsRXjZFEx5Wkjw,34.10906,-118.3697,$$$,901.0,4.0,90046,Los Angeles,pace-los-angeles-3,"['italian', 'desserts', 'wine_bars']"
dKSWJ5qaim_laqn8q34reg,34.0975154567746,-118.365265698114,$$,979.0,4.5,90046,Los Angeles,veggie-grill-los-angeles-2,"['vegan', 'newamerican', 'vegetarian']"
pbalg1VNA8JMVt9kIiATUA,34.095141,-118.374456,$$$,1665.0,4.0,90069,West Hollywood,katana-west-hollywood,"['sushi', 'japanese', 'asianfusion']"
,,,,,,,,,"['dog_parks', 'hiking']"
BAnC30_CaFiBOd6Fv9KgBg,34.079289,-118.361585,$$$,3326.0,4.0,90036,Los Angeles,animal-los-angeles,"['newamerican', 'breakfast_brunch', 'wine_bars']"
YetYHIRKrZDGHZ50I_RMag,34.1331825256348,-118.357154846191,$$,1957.0,4.5,90068,Los Angeles,joes-falafel-los-angeles,['mediterranean']
EWbbiUBkGzCYrEoOF05HzA,34.0807951106153,-118.386972025037,$$,4009.0,4.0,90069,West Hollywood,gracias-madre-west-hollywood,"['mexican', 'vegan', 'cocktailbars']"
NVPAuPCohrb5BrSJh5TcXA,34.098765,-118.344954,$,1264.0,4.5,90028,Los Angeles,mashti-malones-ice-cream-los-angeles,"['icecream', 'desserts']"
FZVggU2nUN7YnCiZfpWjyw,34.09107,-118.36718,$$$,1834.0,4.0,90046,West Hollywood,connie-and-teds-west-hollywood-2,"['seafood', 'tradamerican', 'sandwiches']"
RrqZgfxIKRi6_s6lXaYVzQ,34.095947,-118.371902,$,768.0,4.0,90069,Los Angeles,carneys-sunset-strip-los-angeles-2,"['burgers', 'hotdog', 'sandwiches']"
llKP5-ZAG8I-RVbKrSatQQ,34.0981492,-118.3501071,$$,1076.0,4.0,90046,Los Angeles,chibiscus-asian-cafe-los-angeles-2,"['asianfusion', 'ramen']"
a202lR4FGWbohe0o9cGUgQ,34.095603,-118.37238,$$,1854.0,3.5,90069,West Hollywood,saddle-ranch-chop-house-west-hollywood,"['steak', 'bars', 'tradamerican']"
l35t9glgHHOjR5dMyUqs6Q,34.0978951,-118.3643588,$$,221.0,5.0,90046,Los Angeles,vromage-los-angeles,"['cheese', 'vegan']"
Su2ts0CfPazGJe6zWNb12A,34.0869,-118.38035,$$,966.0,4.5,90069,West Hollywood,fresh-corn-grill-west-hollywood,"['pizza', 'sandwiches', 'salad']"
Ti0RVRsGcvcjESsMh1iIlg,34.09373,-118.37785,$$,580.0,4.5,90069,West Hollywood,burger-lounge-west-hollywood,['burgers']
uMY7uC9m7HxRNAZGkjtdbA,34.0982846,-118.3466992,$$,3080.0,3.5,90046,Los Angeles,bossa-nova-brazilian-cuisine-los-angeles-4,"['brazilian', 'pizza', 'sandwiches']"
_vFkAGFg9lAPRxG7gy3dQw,34.0834751,-118.3761741,$$$,2436.0,4.0,90069,West Hollywood,fig-and-olive-melrose-place-west-hollywood-2,"['mediterranean', 'french', 'bars']"
B-JY4uOniEo9WHbz1i8mig,34.0825734070693,-118.374798180805,$$,2559.0,4.0,90069,West Hollywood,taste-on-melrose-west-hollywood-2,"['newamerican', 'breakfast_brunch', 'bars']"
0MbnNM2IvNWMQ1YsPfDTjQ,34.0921328,-118.3805803,$$,1470.0,4.0,90069,West Hollywood,the-butcher-the-baker-the-cappuccino-maker-west-hollywood-2,"['newamerican', 'breakfast_brunch', 'cocktailbars']"
h9PSJ18gQ4kos8A0XAGlng,34.0839249,-118.3630799,$$$,966.0,4.5,90046,Los Angeles,carlitos-gardel-argentine-steakhouse-los-angeles-2,"['argentine', 'steak']"
