id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
TF5hYz1FTIUGjQ1XTGDedg,34.3772,-118.56721,$$,579,4.5,91381,Stevenson Ranch,kinza-sushi-stevenson-ranch-2,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
qy29tUpKJw1LXrSfe6d8aQ,34.37693,-118.56657,$$,289,3.0,91381,Newhall,outback-steakhouse-newhall,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
FHF40Awca68sMFqe6D5COg,34.3776771,-118.5676546,$$,322,3.5,91381,Stevenson Ranch,chuy-s-mesquite-broiler-stevenson-ranch,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
ounjqpslsEaPP4BjvhCiMQ,34.3771440679662,-118.565396407316,$,309,4.0,91321,Newhall,in-n-out-burger-newhall,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
m__KpbAZ8Uxm5uDYqlIaZA,34.377977,-118.567038,$,119,2.0,91381,Stevenson Ranch,mcdonalds-stevenson-ranch,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
N-yFCyJZEYknu3HWlOXVVg,34.3784485691862,-118.567301630974,$$,118,2.5,91381,Stevenson Ranch,dennys-stevenson-ranch-2,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
MB-FBNz94jd_BkWkB6ORoA,34.3781807,-118.5630117,$$,390,4.5,91321,Santa Clarita,genghis-khan-mongolian-bbq-santa-clarita,"[{'alias': 'mongolian', 'title': 'Mongolian'}, {'alias': 'importedfood', 'title': 'Imported Food'}]"
1kiK2krJA7Nh4I1YJmsbVA,34.3781876,-118.5632032,$$,193,3.5,91321,Newhall,vincenzos-pizza-newhall-newhall,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'catering', 'title': 'Caterers'}]"
TvsG1NzUymxmc1pfZGSJKQ,34.378784,-118.56621,$,166,1.5,91321,Newhall,taco-bell-newhall,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
L-0cmwG_-7PnRYJ8N5ajzw,34.3779521987834,-118.563683370716,$,57,2.0,91321,Newhall,burger-king-newhall,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
4ierTGsoitoC8YFZgW3qXQ,34.3776228562467,-118.562951087952,$,126,4.0,91321,Santa Clarita,shooters-bar-and-billiards-santa-clarita,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
H8ms2W9QligIbqvwf2KpQg,34.3788234381184,-118.563348897987,$,59,3.0,91321,Santa Clarita,wendys-santa-clarita-3,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
GoYMlI3JhbhFSj51XeQVQA,34.3875007629395,-118.538902282715,$,2,2.0,91321,Newhall,el-jalisciense-newhall,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
XDlT2ybzPPDt9kdb4MhPYA,34.3784852208521,-118.542819565488,$$,95,3.0,91321,Santa Clarita,kogiya-2-korean-bbq-santa-clarita-3,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]"
4X2Cyiwpn1cELNvh0x5bSA,34.378594,-118.542613238096,$,8,3.0,91321,Newhall,7-eleven-newhall-2,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
SLqL6yZR6lPEA98At5dU-A,34.3786432202252,-118.543047704133,$$,368,4.5,91321,Santa Clarita,eat-real-café-santa-clarita,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
zFPrc_654ePJdXVn_kj4wA,34.3788672724884,-118.543220239287,$,195,3.5,91321,Santa Clarita,its-boba-time-santa-clarita,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]"
udw5eH1jCn0Z27uH1MiieQ,34.379057,-118.541212,$,10,1.5,91321,Santa Clarita,subway-restaurants-santa-clarita-7,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
T6M8dfHS8-LrG_61NvSogA,34.37805,-118.54909,$$,7,5.0,91321,Newhall,lyons-den-bar-newhall,"[{'alias': 'bars', 'title': 'Bars'}]"
8A9PaF1Ypg4101si1IBlWw,34.3782410348634,-118.548726662993,$,150,4.0,91321,Newhall,lilys-cafe-newhall,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
b63OrYJQp1YSl9EkjPiUYA,34.3790280875233,-118.537767714335,$$,770,4.5,91321,Newhall,cathys-deli-newhall-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'delis', 'title': 'Delis'}]"
fh0uSjwP4F0afVQKyCylKA,34.379159,-118.543435,$,95,1.5,91321,Newhall,pizza-hut-newhall,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
brkJWU4whvr_8Gls-JueeA,34.3794153,-118.5436704,$,22,4.0,91321,Newhall,baskin-robbins-newhall,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]"
pebnrTxbJH1f6sx4M8p4-g,34.37938,-118.5374,$,204,4.5,91321,Santa Clarita,panini-palace-santa-clarita,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wraps', 'title': 'Wraps'}]"
R6dir5prxASvjOrFbOpddQ,34.3792916,-118.5456134,$$,206,4.0,91321,Newhall,light-and-healthy-sushi-bar-newhall,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
lNZIi7zszw4xjcnlHyIhHQ,34.3790989035711,-118.548898766253,$,58,2.0,91321,Newhall,del-taco-newhall,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
HMWVs9t2Tu5XpgG3KbskIA,34.3791255354881,-118.549672141671,$,92,4.5,91321,Santa Clarita,coffee-kiosk-santa-clarita-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
LYlWgcIH2ZaRjufjhcZzIg,34.3787670641931,-118.550281338394,$$,217,3.5,91321,Santa Clarita,burgerim-santa-clarita,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
hFLhXW5PuO1BBxmJd8USrg,34.3769897169487,-118.52729016646,$$,248,4.5,91321,Santa Clarita,la-charrita-santa-clarita-3,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vegan', 'title': 'Vegan'}]"
