id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
HTgHNjg3E_3nEwEY35KXaw,33.74368,-118.28817,$,7,3.5,90731,San Pedro,el-principe-san-pedro,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'mexican', 'title': 'Mexican'}]"
RjAAbo7T0Qxtt4m9ks4P_Q,33.74356,-118.288242,$,25,3.0,90731,Los Angeles,las-champas-los-angeles,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]"
3G1zNlRqUKY-tl4wpJVdMQ,33.7439443,-118.2877451,$,33,3.5,90731,San Pedro,las-brisas-1-san-pedro-3,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]"
_KFARryyM4CYlEeWJenr2A,33.73787,-118.28461,$,37,4.5,,San Pedro,el-burger-luchador-san-pedro,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}]"
syRE3irwISjOjHTlBsN_sA,33.73895,-118.29205,$,18,4.0,90731,San Pedro,yum-yum-donuts-san-pedro,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
q7D1pkkLrQIrf8UoicosBw,33.7391729242537,-118.292079158127,$$,98,4.5,90731,Los Angeles,happy-deli-los-angeles,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
tUtOF_a3pNy2BJzN69fmvw,33.7365467,-118.2924849,$,484,4.0,90731,San Pedro,the-sandwich-saloon-san-pedro,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
A1k_7CpM0cFoEN2I-6gC2A,33.744398,-118.2877451,$,52,4.0,90731,Los Angeles,la-perla-tapatia-meat-market-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'meats', 'title': 'Meat Shops'}]"
55i-VlFJY1E_X4kHIE3uyw,33.7380459785321,-118.292515017092,$,24,2.5,90731,San Pedro,little-caesars-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}]"
ym3szIwlV63dRHarmrT3Ow,33.739863,-118.292046,$,83,2.5,90731,San Pedro,starbucks-san-pedro-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
