,alias,categories,city,id,latitude,longitude,price,rating,review_count,zip_code
13352,mcdonalds-panorama-city,"['hotdogs', 'burgers', 'coffee']",Panorama City,V8mc6VmCt47w660fdbciXg,34.2153943645217,-118.449317961931,1,1.5,46.0,91402
13353,mcdonalds-palmdale-9,"['burgers', 'hotdogs', 'coffee']",Palmdale,2f41xm0becvmQwFnxFZwyw,34.5566580021568,-118.042221665382,1,1.5,19.0,93550
13354,mcdonalds-palmdale-8,"['hotdogs', 'burgers', 'coffee']",Palmdale,M66PT-cwovvtfgbHP-H46A,34.5583556639236,-118.085374815632,1,1.5,69.0,93550
13355,mcdonalds-palmdale-7,"['hotdogs', 'burgers', 'coffee']",Palmdale,TJb5mhRUjv4FJ8QPxUSp7Q,34.558786543523304,-118.046155795455,1,1.5,70.0,93552
13356,mcdonalds-palmdale-12,"['coffee', 'burgers', 'hotdogs']",Palmdale,1zsJbven-uWvJ_PlgFAm0g,34.6012517720656,-118.146997531921,1,1.5,41.0,93550
13357,mcdonalds-palmdale-10,"['hotdogs', 'burgers', 'coffee']",Palmdale,sdPSm_jzspAfTmHVjQjSdA,34.6115682435694,-118.14451575279199,1,1.5,13.0,93551
13358,mcdonalds-palmdale,"['hotdogs', 'burgers', 'coffee']",Palmdale,H8I-42c9dZZM-X1cmOJEHA,34.580261,-118.127976,1,1.5,48.0,93550
13359,mcdonalds-pacoima-3,"['hotdogs', 'burgers', 'coffee']",Pacoima,PZxRPGuBEkYnfb4IXZ_2ug,34.274473,-118.41214699999999,1,1.5,45.0,91331
13360,mcdonalds-pacoima-2,"['hotdogs', 'burgers', 'coffee']",Pacoima,NifduPu-uUG4j9hQc-KLoA,34.2330776312402,-118.43772277236,1,2.0,101.0,91331
13361,mcdonalds-pacoima,"['hotdogs', 'burgers', 'coffee']",Pacoima,Fa4xOc0p5mIWbaOwm2MqiA,34.2576977301069,-118.432943746448,1,2.0,58.0,91331
13362,mcdonalds-ontario-8,"['hotdogs', 'burgers', 'coffee']",Ontario,TjlD3d9mdbj8JQUeYfrTLA,34.073317012335,-117.669680267572,1,1.5,74.0,91762
13363,mcdonalds-norwalk-5,"['burgers', 'hotdogs', 'coffee']",Norwalk,u--05o2E7yhwA0_6EczmCA,33.887446242618395,-118.063577413559,1,1.5,185.0,90650
13364,mcdonalds-norwalk-4,"['hotdogs', 'burgers', 'coffee']",Norwalk,cA6lk_6HNwI1EdNaocduQA,33.91772,-118.07205,1,2.0,106.0,90650
