id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category,med_agi,avg_agi,count
fMuuhCBLbcTvu-qZ6ObmfQ,34.0706246,-118.2695113,1,664.0,4.0,90026,Los Angeles,gigis-bakery-and-café-los-angeles-2,"['bakeries', 'cuban', 'cafes']",54342,81369,214
fETqhZO6YjM1VTWCJpT8VA,34.076324799999995,-118.25673059999998,2,69.0,4.5,90026,Los Angeles,lowboy-los-angeles-3,['cocktailbars'],54342,81369,214
f-1shORInoTnFOXf6qq8Ww,34.068347,-118.2625568,1,311.0,4.5,90026,Los Angeles,tamales-alberto-los-angeles-2,['mexican'],54342,81369,214
etpDBsakwree7-KJpGRXwQ,34.08882565,-118.2686875,2,1520.0,3.5,90026,Los Angeles,lamill-coffee-silverlake-los-angeles,['coffee'],54342,81369,214
eNPaF_hVdpxMkzyq9kenYQ,34.066531299999994,-118.25426609999998,2,2012.0,4.0,90026,Los Angeles,the-parks-finest-los-angeles,"['bbq', 'filipino', 'newamerican']",54342,81369,214
eEpvCtDpzg__Ceeqk_qYqQ,34.09045,-118.27698999999998,1,110.0,4.0,90026,Los Angeles,united-bread-and-pastry-los-angeles,"['bakeries', 'filipino']",54342,81369,214
e4p1XY5mLUd81nrYhaBh6w,34.07874298,-118.2637558,1,1.0,5.0,90026,Los Angeles,jakes-coffee-los-angeles-2,"['popupshops', 'coffee']",54342,81369,214
dOyEWOtr3h7kkyMQwWwDFA,34.08254,-118.273196,2,184.0,4.0,90026,Los Angeles,ohana-superette-los-angeles,"['hawaiian', 'seafood']",54342,81369,214
dKVIKCk_hXw01ivIvWGEcQ,34.07738971,-118.2585043,2,227.0,3.0,90026,Los Angeles,señor-fish-los-angeles-6,"['mexican', 'seafood', 'bars']",54342,81369,214
d9Fow9oMmrXOaNZrSpFyfg,34.08283,-118.27369,1,181.0,3.0,90026,Los Angeles,silverlake-lounge-los-angeles,['lounges'],54342,81369,214
cT9okZSr2HIUuBxAXexYAg,34.07913504,-118.2687027,1,15.0,3.5,90026,Los Angeles,subway-restaurants-los-angeles-77,['sandwiches'],54342,81369,214
bs1e_IRYZcu__zo3gsrKsQ,34.0774077,-118.2607577,2,227.0,4.5,90026,Los Angeles,street-level-cafe-los-angeles,"['cafes', 'breakfast_brunch', 'salad']",54342,81369,214
bkXtGXX5kWjeGcl3VwIEaw,34.07739,-118.26316,1,190.0,4.0,90026,Los Angeles,el-flamin-taco-truck-los-angeles-4,"['foodtrucks', 'tacos']",54342,81369,214
bfi2zS87SqiSDaLjBV-yfQ,34.0751281,-118.2535331,1,2.0,4.5,90026,Los Angeles,loco-pupusa-los-angeles,['streetvendors'],54342,81369,214
bZKEW0yao8l4uPa_N-2LpA,34.071220399999994,-118.271637,1,8.0,3.5,90026,Los Angeles,bbqhan-sa-bahay-kubo-los-angeles-2,['filipino'],54342,81369,214
b6PB_Dwhs6dJ0qP_kCXSvw,34.0837999,-118.2737,1,19.0,5.0,90026,Los Angeles,last-call-tacos-los-angeles-2,"['mexican', 'streetvendors']",54342,81369,214
aeNCf7ks34JWnwaLIJmtBA,34.0754,-118.25369,2,315.0,3.5,90026,Los Angeles,konbi-los-angeles,"['japanese', 'sandwiches', 'coffee']",54342,81369,214
abHewSmVZUlVs_syOCU7Vw,34.07976,-118.26054,1,83.0,4.5,90026,Los Angeles,ms-donuts-los-angeles,"['donuts', 'sandwiches', 'coffee']",54342,81369,214
_rNLDmwV1u_D2tiZLUFmYQ,34.0850744,-118.2745083,2,782.0,3.5,90026,Los Angeles,diablo-los-angeles-2,"['bars', 'tacos', 'beer_and_wine']",54342,81369,214
_itK_6yZqDt0W1TDue-H0A,34.08854,-118.2764983,1,41.0,2.5,90026,Los Angeles,dominos-pizza-los-angeles-39,"['pizza', 'chicken_wings', 'sandwiches']",54342,81369,214
Zub7WJxbguc1I5YRWKKDfQ,34.082353999999995,-118.27228,2,224.0,4.0,90026,Los Angeles,same-same-los-angeles,"['wine_bars', 'thai']",54342,81369,214
ZVy2gPwX8cdnNk2sPdx9VQ,34.07782,-118.26373999999998,1,28.0,4.5,90026,Los Angeles,k-and-k-donuts-los-angeles,"['donuts', 'juicebars', 'sandwiches']",54342,81369,214
ZNL76QlAzJjYjBc6ALM5Gg,34.07705,-118.25887,1,213.0,4.0,90026,Los Angeles,tacos-arizas-los-angeles,"['mexican', 'foodtrucks']",54342,81369,214
ZLhWj4S_v6JeWVWdEqg6mA,34.0916898,-118.279471,1,901.0,4.5,90026,Los Angeles,pazzo-gelato-los-angeles,"['icecream', 'gelato']",54342,81369,214
ZF8XCTNW9e5pBy7iIp2paw,34.07767963,-118.2664101,1,17.0,3.5,90026,Los Angeles,7-eleven-los-angeles-16,"['convenience', 'coffee']",54342,81369,214
YcTr0RDHTR1uLjfwL5mEkw,34.07799,-118.25937,2,126.0,3.5,90026,Los Angeles,sticky-rice-echo-park-los-angeles,['thai'],54342,81369,214
YDn6HHTNJF_Q79fP0mEKQw,34.078532,-118.2604251,1,214.0,4.0,90026,Los Angeles,hard-times-pizza-los-angeles-2,"['pizza', 'salad', 'italian']",54342,81369,214
XxJQEwgE-i6N1oolJ4vIOQ,34.0763375,-118.2567569,2,65.0,5.0,90026,Los Angeles,bar-flores-los-angeles-6,['cocktailbars'],54342,81369,214
XFWlU7sXDL3SIy7rmUVQpA,34.08256911,-118.2722527,2,318.0,4.5,90026,Los Angeles,daw-yee-myanmar-corner-los-angeles-2,['burmese'],54342,81369,214
Wr29KJSMjWVw6vj-dCmeCA,34.08136993,-118.2546965,2,74.0,4.5,90026,Los Angeles,counterpart-los-angeles-2,"['vegan', 'breakfast_brunch', 'cafes']",54342,81369,214
VbgasntfkT-zTKJTF4YCcw,34.079716,-118.259895,1,30.0,2.0,90026,Los Angeles,taco-bell-los-angeles-45,"['tex-mex', 'hotdogs', 'mexican']",54342,81369,214
UkHouQ7wLTsCeUE7zLN_Xg,34.068254,-118.26235,2,181.0,4.5,90026,Los Angeles,1642-beer-and-wine-los-angeles,['bars'],54342,81369,214
UQQR7o70bRccJGxkbfT4mA,33.781685,-118.14731,1,1.0,4.0,90026,Los Angeles,kogi-verde-truck-los-angeles,['streetvendors'],54342,81369,214
Tub-psQGYAjbtny6MnfQmg,34.07704926,-118.258873,1,2.0,5.0,90026,Los Angeles,yum-yum-shave-ice-los-angeles-2,"['shavedice', 'foodstands']",54342,81369,214
TmDZlfdPWgvQvXrZZcDiGA,34.09026,-118.26783,2,141.0,4.5,90026,Los Angeles,the-silver-lake-house-los-angeles,"['thai', 'asianfusion']",54342,81369,214
SrdFi1FU6AKNHeFpKtUg1A,34.0771,-118.259,1,66.0,4.5,90026,Los Angeles,takumas-burger-los-angeles-2,"['burgers', 'foodtrucks']",54342,81369,214
Sg1A08eJJpu5mjMKdtrkEA,34.07579422,-118.2543564,1,268.0,3.0,90026,Los Angeles,little-joy-los-angeles-2,"['divebars', 'poolhalls']",54342,81369,214
S1WK6Ptg0j0gP9OJX9QaXw,34.07805402,-118.2663917,1,29.0,4.0,90026,Los Angeles,king-bowl-los-angeles,['chinese'],54342,81369,214
RmV5P6tQ5i40un4N3_xZlQ,34.07773504,-118.2578533,2,212.0,3.0,90026,Los Angeles,lassens-natural-foods-and-vitamins-los-angeles-2,"['vitaminssupplements', 'organic_stores', 'delis']",54342,81369,214
RdZDOv-XBVrIXvnJQ63LLQ,34.08556353,-118.275099,2,113.0,4.5,90026,Los Angeles,dayglow-los-angeles-2,['coffee'],54342,81369,214
Rb0nwtPIWu1kRN22Ap0EtQ,34.08918784,-118.276821,2,5.0,5.0,90026,Los Angeles,of-aire-los-angeles,"['newamerican', 'mideastern', 'vegetarian']",54342,81369,214
RMi8jn4ZBnAL3-l1T7tjmA,34.0760671,-118.257599,1,161.0,4.5,90026,Los Angeles,alejandra-s-quesadilla-cart-los-angeles,"['foodstands', 'mexican']",54342,81369,214
REavVskm3ZTg04AvcOMVRw,34.08278,-118.27362,1,569.0,4.0,90026,Los Angeles,café-tropical-los-angeles-2,"['bakeries', 'sandwiches', 'cuban']",54342,81369,214
QxjU5TnmLpF6Y9hp3SpUeg,34.075508,-118.255245,2,54.0,4.0,90026,Los Angeles,bar-calo-los-angeles,"['cocktailbars', 'lounges', 'wine_bars']",54342,81369,214
Q_PILb8JeSm5CWh47DSTyw,34.078590000000005,-118.27815,1,206.0,4.0,90026,Los Angeles,las-glorias-del-buen-comer-los-angeles,"['mexican', 'breakfast_brunch']",54342,81369,214
QKyNV4tYSwNtKIpB41RMBA,34.0765991,-118.257843,2,220.0,3.5,90026,Los Angeles,dinette-los-angeles-2,"['cafes', 'pizza', 'sandwiches']",54342,81369,214
QIH9aTg0nLXh4_aZMzugag,34.07714537,-118.2647605,1,39.0,3.0,90026,Los Angeles,chipotle-mexican-grill-los-angeles-60,"['mexican', 'hotdogs']",54342,81369,214
Q85kJNtWNQrH7DoZgizzRg,34.07585907,-118.2561874,1,158.0,4.0,90026,Los Angeles,patra-burgers-on-sunset-los-angeles,['burgers'],54342,81369,214
Q1-0OhONa-EHjuIodqx7Og,34.073319,-118.26001200000002,2,133.0,4.0,90026,Los Angeles,beacon-echo-park-los-angeles,"['breakfast_brunch', 'coffee', 'cafes']",54342,81369,214
PwEU_ZVcX91vzNznIlT-uQ,34.0776194,-118.2634718,1,9.0,4.5,90026,Los Angeles,doña-garnacha-taco-truck-los-angeles-2,"['foodstands', 'mexican']",54342,81369,214
PqKxehCDLo7rrbBBz7zKBQ,34.077356,-118.259051,1,388.0,4.0,90026,Los Angeles,stories-books-and-cafe-los-angeles,"['bookstores', 'coffee']",54342,81369,214
Pig1azcaAT3Jo601Jjp-kg,34.06327,-118.26351,1,3.0,2.5,90026,Los Angeles,marengo-grill-and-coffee-house-los-angeles-2,['coffee'],54342,81369,214
OurQD4GsApgFHTt7YPWCCA,34.0769586,-118.258564,1,9.0,4.5,90026,Los Angeles,tacos-arabes-taco-truck-los-angeles,['mexican'],54342,81369,214
OLQZLBrCwS5bPYfjHOCalA,34.0903484,-118.27728190000002,1,2.0,5.0,90026,Los Angeles,bomb-foods-los-angeles,['newamerican'],54342,81369,214
