id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
1xNQduoGeXOwp-06VneKeA,33.9762855538483,-118.363437652588,$$,1820.0,4.5,90302,Inglewood,the-serving-spoon-inglewood,"['breakfast_brunch', 'soulfood']"
KGN01qTZPTOl2zvpfEgREA,33.9887,-118.33492,$$,282.0,4.5,90043,Los Angeles,grilled-fraiche-los-angeles,"['caribbean', 'seafood']"
3YYDCmLuk4cVhKwWirn-7Q,33.963434,-118.3518651,$$,1270.0,4.5,90301,Inglewood,stuff-i-eat-inglewood,"['vegan', 'vegetarian', 'gluten_free']"
IbSO3urVCNUsis_yKNYvUQ,33.988497,-118.3537791,$$,674.0,4.0,90043,Los Angeles,orleans-and-york-deli-los-angeles,"['cajun', 'tradamerican', 'sandwiches']"
KOeuULPL0ZrIqfVU_Zcyhw,33.9880055506272,-118.362671546638,$$,737.0,4.5,90056,Los Angeles,mikes-deli-los-angeles,"['delis', 'salad', 'sandwiches']"
zt5MFq6w5_Zj7vYUpRjigg,33.980146,-118.357847,$$,865.0,4.0,90302,Inglewood,fiesta-martin-mexican-grill-inglewood-3,"['mexican', 'latin', 'breakfast_brunch']"
Sb_hPko42AEdCbX5Nut5hA,33.9743356,-118.3241718,$$,597.0,4.0,90043,Los Angeles,reds-flavor-table-los-angeles,"['cajun', 'breakfast_brunch', 'tradamerican']"
4ZmXcttDdx9KRGUi6tMWFQ,33.9985785,-118.3307743,$$,571.0,4.0,90043,Los Angeles,dulans-on-crenshaw-los-angeles,['soulfood']
6DEuqc82zAMe-C4MOLqHcQ,33.9886372,-118.354468,$$,723.0,4.0,90043,Los Angeles,simply-wholesome-los-angeles,"['soulfood', 'caribbean', 'vegetarian']"
WBZTSRrLka7HtjN2cR7cBw,33.97664,-118.36552,$$,410.0,4.5,90302,Inglewood,harriets-cheesecakes-unlimited-inglewood,"['bakeries', 'desserts']"
,,,,,,,,,['coffee']
-RdSyuRT4vi2kqNQoxkSjg,33.9886474609375,-118.353790283203,$,194.0,4.5,90043,Los Angeles,new-orleans-snoballs-los-angeles,"['icecream', 'shavedice']"
f0HotMqLhsu6OMTJtZS0Fg,33.9931819482197,-118.328788260228,$,82.0,5.0,90037,Los Angeles,peckish-snack-bar-los-angeles,"['caribbean', 'coffee', 'sandwiches']"
w2GujMgLyd25SVTnCV7_Gw,33.95991,-118.3517951,$$,709.0,4.0,90301,Inglewood,rusty-pot-cafe-inglewood,['breakfast_brunch']
3h2iPFqxDyKsBQVsh6aVOw,33.97689,-118.36175,$$,170.0,5.0,90302,Inglewood,karubas-yardy-kitchen-inglewood-2,['caribbean']
p_Qx3ISMiE9OrCm6iV0aYQ,33.9891395785573,-118.353775573552,$,279.0,4.0,90043,Los Angeles,sachi-teriyaki-house-los-angeles,"['japanese', 'sushi']"
IBKcCJfozUg-0IwphlcCqg,33.96203,-118.32783,$,134.0,5.0,90305,Inglewood,mingles-tea-bar-inglewood-2,"['desserts', 'coffee']"
Yf4lciWF90LPKIykRD-B9g,33.9615531980178,-118.353024311364,$$,876.0,4.0,90301,Inglewood,dulans-soul-food-kitchen-inglewood-2,"['soulfood', 'southern', 'comfortfood']"
DnVyBXyfuDSecq9q3Lg65g,33.9670954750967,-118.350255408564,$$,433.0,4.0,90301,Inglewood,orleans-and-york-deli-inglewood,"['delis', 'cajun', 'salad']"
