,zip_code,avg_agi,count,latitude,longitude,med_agi,price,rating,review_count
0,90001.0,45650,90,33.976409222363856,-118.24849322149419,35660,1.2777777777777777,3.638888888888889,49.888888888888886
1,90002.0,44463,21,33.95442237904762,-118.2454309,34000,1.0952380952380953,3.380952380952381,27.904761904761905
2,90003.0,43342,59,33.97117577891391,-118.2712429112913,34397,1.1864406779661016,3.2033898305084745,34.96610169491525
3,90004.0,82091,137,34.075058060881,-118.30465674381213,46581,1.489051094890511,3.7992700729927007,185.86131386861314
4,90005.0,49310,112,34.059468295187635,-118.30000710652762,32461,1.5892857142857142,3.5714285714285716,243.03571428571428
5,90006.0,44293,198,34.04951561866885,-118.2954681577546,33790,1.3686868686868687,3.532828282828283,120.4040404040404
6,90007.0,37116,112,34.02877898561859,-118.28523433236641,23070,1.3928571428571428,3.5044642857142856,111.44642857142857
7,90008.0,59516,57,34.010444213330054,-118.33376296090464,36641,1.3333333333333333,3.3596491228070176,100.10526315789474
8,90010.0,67671,118,34.06169731771809,-118.30399483430664,47115,1.423728813559322,3.6313559322033897,166.67796610169492
9,90011.0,43479,71,34.007883681743095,-118.25947998507958,33824,1.1830985915492958,3.4788732394366195,31.338028169014084
10,90012.0,61644,264,34.057387044467575,-118.24100918572849,38786,1.5,3.6742424242424243,271.4469696969697
11,90013.0,59395,155,34.04649980610191,-118.24670088748059,22808,1.6580645161290322,3.9935483870967743,316.1741935483871
12,90014.0,65003,146,34.04489278094916,-118.25344966729595,37619,1.5753424657534247,3.8527397260273974,195.7876712328767
13,90015.0,71678,206,34.04047380066311,-118.26205261634693,32979,1.5922330097087378,3.6990291262135924,202.0728155339806
14,90016.0,59776,80,34.02775726276427,-118.35101501352906,43443,1.325,3.26875,124.3875
15,90017.0,52641,163,34.05052434087462,-118.26366497186774,28638,1.5030674846625767,3.6196319018404908,211.80981595092024
16,90018.0,54309,48,34.0327437862036,-118.31471930358201,37341,1.2083333333333333,3.5,78.10416666666667
17,90019.0,79431,150,34.04983955952201,-118.33982659968672,50671,1.4466666666666668,3.716666666666667,218.18666666666667
18,90020.0,64947,156,34.065794828546046,-118.30034014051876,42407,1.6217948717948718,3.7403846153846154,224.82051282051282
19,90021.0,47393,94,34.03638740264683,-118.24125519424747,12864,1.5212765957446808,3.978723404255319,125.7127659574468
20,90022.0,51693,149,34.02250499605382,-118.15412857302492,41276,1.221476510067114,3.6040268456375837,71.00671140939598
21,90023.0,50263,96,34.024590129606,-118.2031947779091,40225,1.1354166666666667,3.5625,53.354166666666664
22,90024.0,115135,159,34.06089478955975,-118.44297099937107,59418,1.5974842767295598,3.638364779874214,354.33962264150944
23,90025.0,104513,230,34.04419224547826,-118.44935260391308,78713,1.6652173913043478,3.715217391304348,395.53913043478263
24,90026.0,81369,206,34.07787592153055,-118.26478689920552,54342,1.5339805825242718,3.9635922330097086,306.8398058252427
25,90027.0,91647,127,34.104334356566135,-118.29320774186158,58344,1.5826771653543308,3.7559055118110236,312.40157480314963
