category,id,latitude,longitude,price,review_count,rating,zip_code,city,alias
['coffee'],x1HierOUSxuZ2NJb1cttqQ,34.0312448,-118.2665321,$,80.0,5.0,90007,Los Angeles,coffee-by-kofi-los-angeles-2
['museums'],,,,,,,,,
"['italian', 'vegan', 'mexican']",DGxYONwWet7Ihl5eouo9mA,34.023123,-118.284333,$,54.0,5.0,90089,Los Angeles,the-good-karma-cafe-los-angeles
"['breakfast_brunch', 'chinese', 'japanese']",o9o8gDzVlAh3x2BLPaOStw,34.02444,-118.27315,$,76.0,4.5,90007,Los Angeles,seree-coffee-shop-los-angeles-2
"['southern', 'chickenshop', 'desserts']",RAzUPIaCuqufZoPV9gwzUQ,34.024758,-118.284446,$$,137.0,4.0,90007,Los Angeles,honeybird-los-angeles
"['spanish', 'salvadoran']",Dv2vnZH0bqCEbGCH1xuPHA,34.0106463298803,-118.305942550926,$$,193.0,4.0,90062,Los Angeles,paseo-san-miguel-los-angeles-2
"['indpak', 'buffets']",g4pgc_lnkLchfuGXmUl1oA,34.02882,-118.29187,$$,498.0,3.5,90007,Los Angeles,manas-indian-cuisine-los-angeles-2
['icecream'],gYMhUx_NSheqhvD3agJ8fg,34.022887,-118.279626,$,154.0,4.0,90007,Los Angeles,yogurtland-los-angeles-los-angeles
['caribbean'],mQMCi60kT3UeVuDiOckG_w,34.017,-118.30854,$$,117.0,4.5,90062,Los Angeles,traceys-belizean-restaurant-los-angeles
"['seafood', 'hawaiian']",YDjMP9kAom06N8vcySOtxA,34.0160389244556,-118.282705843449,$$,166.0,3.5,90007,Los Angeles,ahipoki-bowl-los-angeles-2
"['asianfusion', 'foodtrucks', 'indonesian']",jljq3PO3l-0zEdCDirweQA,34.00455,-118.26009,$$,48.0,5.0,90011,Los Angeles,stopbye-café-los-angeles-3
['mediterranean'],m_Mb47u9F_G8NR0Fmg6GRg,34.0249037,-118.2845961,$$,179.0,4.0,90089,Los Angeles,cava-los-angeles-4
"['burgers', 'sandwiches']",_yVWZKwr_9ne_7ShMscWjA,34.01744,-118.2783,$,71.0,4.5,90007,Los Angeles,burger-plaza-grill-los-angeles
"['italian', 'pizza', 'sandwiches']",qIwISTsz_2DXVqEfuTDYng,34.0256979,-118.2776066,$$,459.0,3.5,90007,Los Angeles,pasta-roma-los-angeles-2
"['burgers', 'breakfast_brunch', 'salad']",sAf2xtvoAzDAyWq3YO11Cg,34.0302,-118.29193,$,292.0,4.0,90007,Los Angeles,olympian-burgers-los-angeles
['salvadoran'],7SF1ePvhJNf2bBSS0R83oA,34.0036651,-118.2787636,$,58.0,4.0,90037,Los Angeles,la-flor-blanca-restaurant-los-angeles
['korean'],svK6WXwRnTSORVkB33o3KA,34.0322433394971,-118.259651175722,$,176.0,4.5,90015,Los Angeles,yang-ban-sul-lung-tang-los-angeles
"['foodtrucks', 'sandwiches', 'catering']",pKGSYYij_CO-LWowNbafIQ,34.00566,-118.25849,$,46.0,5.0,90011,Los Angeles,tumaca-truck-los-angeles
['newamerican'],BS6hEbAg7y4ELeWFFgCBPQ,34.0202225,-118.2856428,$$,183.0,3.5,90089,Los Angeles,lemonade-los-angeles-5
"['indpak', 'catering']",drYIFWc8kJ4Eabi0g4YdMg,34.00566,-118.25849,$$$,47.0,5.0,90011,Los Angeles,ayur-ras-healing-foods-los-angeles
"['bbq', 'burgers', 'sandwiches']",x-8J_huZ4hhe8aVrguy9xQ,33.99376,-118.29182,$$,123.0,3.5,90037,Los Angeles,the-original-texas-barbecue-king-los-angeles-2
"['noodles', 'chinese']",qpZCi8oVqxOA_YSIaCaMnw,34.0255178,-118.2775239,$$,209.0,3.5,90007,Los Angeles,northern-cafe-los-angeles-6
"['mexican', 'seafood']",,,,,,,,,
"['newamerican', 'bars']",zKH8GAVkRdxh7uDygbjcbg,34.012537,-118.284588,$$,126.0,3.5,90037,Los Angeles,the-fields-la-los-angeles
"['foodtrucks', 'burgers']",Qh-R8EGDLQZFwwdApN0Kvw,34.02911,-118.28306,$$,74.0,4.5,90007,Los Angeles,the-fix-on-wheels-los-angeles
['mexican'],yMJpttJxzObbbRh0ekawmQ,34.02362,-118.26508,$,169.0,4.0,90011,Los Angeles,birrieria-los-gonzalez-los-angeles
"['desserts', 'icecream', 'donuts']",HZ0ZaBYmO5f-ywQBbsEtlw,34.025016,-118.285346,$,92.0,4.0,90007,Los Angeles,baked-bear-los-angeles
"['popupshops', 'coffee']",nCL-wP-sr2NB2jiAG20Gzg,34.03007,-118.28438,$,38.0,5.0,90007,Los Angeles,cacique-espresso-los-angeles
"['gastropubs', 'tradamerican', 'venues']",YvSqThnZr9gVfeJNnleQBA,34.019925,-118.280519,$$,538.0,3.0,90007,Los Angeles,the-lab-gastropub-los-angeles
['mexican'],9EebmPfSytjnkpf5_pXPqw,33.974841,-118.277428,$,98.0,4.5,90003,Los Angeles,taqueria-tijuana-los-angeles
"['seafood', 'chicken_wings']",PmoRirPga162TlChyaN_bg,33.9801451,-118.3088351,$,186.0,4.0,90047,Los Angeles,cw-and-chris-fish-and-chicken-los-angeles
"['donuts', 'coffee', 'sandwiches']",EXcTXl7UynFuaXGIiRCQAg,34.02498,-118.27859,$,155.0,4.0,90007,Los Angeles,spudnuts-donuts-los-angeles-3
['localflavor'],,,,,,,,,
"['cafes', 'breakfast_brunch', 'burgers']",MG237qdnfxvRGxXuk60GAw,34.02991,-118.26869,$$,147.0,4.0,90007,Los Angeles,birds-nest-cafe-los-angeles-3
"['bars', 'gastropubs']",RsRoHM55uqSVqUMdA3C7Yg,34.0127727195096,-118.285580988718,$$,57.0,4.0,90037,Los Angeles,free-play-los-angeles
"['sandwiches', 'salad', 'hotdogs']",XHobfr8WLP3W-LnjJAbHmg,34.03118,-118.27365,$$,360.0,3.5,90007,Los Angeles,salad-farm-los-angeles-3
"['bars', 'newamerican']",hHcO50egg663PN2v4hxeYw,34.025646,-118.2774206,$$,289.0,3.5,90007,Los Angeles,901-bar-and-grill-los-angeles
"['burgers', 'sandwiches', 'tradamerican']",Itqs4uvaV25bpljDblTLkw,34.02854,-118.28436,$$,157.0,4.0,90007,Los Angeles,study-hall-los-angeles-3
['ramen'],mExUrNAYg8FSI8s_whNJ4A,34.0247683,-118.2783463,$$,167.0,4.0,90007,Los Angeles,momota-ramen-house-los-angeles-8
['burgers'],lAXHm8N10LkmHXb4GwLhAg,33.9863128662109,-118.291168212891,$,74.0,4.0,90044,Los Angeles,freds-burger-los-angeles-2
"['divebars', 'sportsbars', 'burgers']",DXFhzx94myitMxmBhsdz8A,34.019963,-118.286161,$$,116.0,3.5,90089,Los Angeles,traditions-los-angeles
"['desserts', 'coffee']",ACuArM-4v-BBzS5KbXAGcA,34.022454,-118.292196,$,169.0,3.5,90007,Los Angeles,its-boba-time-los-angeles-23
['thai'],NPfFfZtAaYobgRa55B8Aww,34.01744,-118.2783,$,217.0,3.0,90007,Los Angeles,thai-corner-food-express-los-angeles
['salvadoran'],EoEfWLkzCZURcPgyFAqbJA,33.9836,-118.30055,$,71.0,4.5,90044,Los Angeles,don-lencho-restaurant-los-angeles
"['italian', 'pizza']",SjHffWyYrmra21OJN78SJw,34.024869,-118.278612,$$,347.0,3.0,90007,Los Angeles,viztango-cafe-los-angeles
"['juicebars', 'mexican', 'icecream']",UX5bCQXsSUDdS3G-3WokTg,34.01744,-118.2783,$,68.0,4.0,90007,Los Angeles,oaxacalifornia-cafe-and-juice-bar-los-angeles-2
