,id,latitude,longitude,price,review_count,rating,zip_code,city,alias
46,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
47,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
48,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
49,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
50,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
51,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
52,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
53,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
54,,,,,,,,,
55,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
56,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
57,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
58,,,,,,,,,
59,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
60,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
61,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
62,pjh40JY5YwWeV8aKhkXERg,34.06577,-118.30847,$,702.0,4.5,90020,Los Angeles,myungrang-hot-dog-california-market-la-los-angeles
63,b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7
64,sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles
65,bvpxd7o3RZtz50YLpDsgLA,34.0571251,-118.346074,$,1266.0,4.5,90019,Los Angeles,el-chato-taco-truck-los-angeles-2
66,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
67,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
68,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
69,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
70,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
71,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
72,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
73,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
74,,,,,,,,,
75,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
76,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
77,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
78,,,,,,,,,
79,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
80,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
81,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
82,pjh40JY5YwWeV8aKhkXERg,34.06577,-118.30847,$,702.0,4.5,90020,Los Angeles,myungrang-hot-dog-california-market-la-los-angeles
83,b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7
84,sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles
85,bvpxd7o3RZtz50YLpDsgLA,34.0571251,-118.346074,$,1266.0,4.5,90019,Los Angeles,el-chato-taco-truck-los-angeles-2
86,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
87,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
88,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
89,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
90,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
91,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
92,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
93,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
94,,,,,,,,,
95,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
96,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
97,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
98,,,,,,,,,
99,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
100,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
101,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
102,pjh40JY5YwWeV8aKhkXERg,34.06577,-118.30847,$,702.0,4.5,90020,Los Angeles,myungrang-hot-dog-california-market-la-los-angeles
103,b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7
104,sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles
105,bvpxd7o3RZtz50YLpDsgLA,34.0571251,-118.346074,$,1266.0,4.5,90019,Los Angeles,el-chato-taco-truck-los-angeles-2
106,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
107,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
108,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
109,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
110,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
111,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
112,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
113,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
114,,,,,,,,,
115,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
116,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
117,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
118,,,,,,,,,
119,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
120,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
121,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
122,pjh40JY5YwWeV8aKhkXERg,34.06577,-118.30847,$,702.0,4.5,90020,Los Angeles,myungrang-hot-dog-california-market-la-los-angeles
123,b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7
124,sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles
125,bvpxd7o3RZtz50YLpDsgLA,34.0571251,-118.346074,$,1266.0,4.5,90019,Los Angeles,el-chato-taco-truck-los-angeles-2
126,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
127,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
128,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
129,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
130,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
131,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
132,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
133,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
134,,,,,,,,,
135,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
136,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
137,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
138,,,,,,,,,
139,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
140,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
141,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
142,pjh40JY5YwWeV8aKhkXERg,34.06577,-118.30847,$,702.0,4.5,90020,Los Angeles,myungrang-hot-dog-california-market-la-los-angeles
143,b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7
144,sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles
145,bvpxd7o3RZtz50YLpDsgLA,34.0571251,-118.346074,$,1266.0,4.5,90019,Los Angeles,el-chato-taco-truck-los-angeles-2
146,iqjA5r6w_bFB2R4hseqhhQ,34.047441,-118.293926,$,1963.0,4.0,90006,Los Angeles,dinos-chicken-and-burgers-los-angeles
147,9OhKC782fYh0akM1VIfMxQ,34.0974499,-118.349941,$$,661.0,4.5,90046,Los Angeles,the-carving-board-los-angeles
148,26fIBSlQkaTa29uoKAvZOw,34.099915,-118.25892833,$$,331.0,4.0,90039,Los Angeles,burgers-never-say-die-los-angeles-2
149,gNwaZaUdvWuzdAsevrbb5w,34.0941,-118.32734,$$,287.0,4.5,90038,Los Angeles,barkada-los-angeles
150,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,$$,4226.0,4.5,90039,Los Angeles,the-morrison-los-angeles
151,dxLiwx8Ghcm0AWNph0xrVw,34.01619,-118.28168,$$,57.0,5.0,90007,Los Angeles,the-dragon-and-meeple-los-angeles
152,omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles
153,WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2
154,,,,,,,,,
155,CbW8U0QAwh5XRkaLt0xNZA,34.077585,-118.259599,$$,4023.0,4.0,90026,Los Angeles,masa-of-echo-park-los-angeles
156,fjWpZPr4YDJRKdnj0fqlkg,34.08332,-118.32738,$$,33.0,5.0,90038,Los Angeles,omakase-teriyaki-los-angeles
157,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005,$$,2151.0,4.5,90026,Los Angeles,pine-and-crane-los-angeles
158,,,,,,,,,
159,PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles
160,CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5
161,KQBGm5G8IDkE8LeNY45mbA,34.0456047058105,-118.236061096191,$$,8205.0,4.0,90013,Los Angeles,wurstküche-los-angeles-2
