category,id,latitude,longitude,price,review_count,rating,zip_code,city,alias
['museums'],,,,,,,,,
['childrensmuseums'],,,,,,,,,
"['cheesesteaks', 'sandwiches', 'breakfast_brunch']",vfHJzF0ShYtwmotXE-0PiA,34.014196,-118.282417,$$,1076.0,4.5,90037,Los Angeles,figueroa-philly-cheese-steak-los-angeles-2
"['african', 'mexican', 'halal']",_lrLfLy3e2jr-zGigfFW4A,34.02523,-118.29857,$,541.0,4.5,90007,Los Angeles,revolutionario-north-african-tacos-los-angeles
"['museums', 'galleries']",GxoqGOsu23p7co-dTR1X2A,34.0162101142984,-118.287373578712,$,191.0,5.0,90037,Los Angeles,space-shuttle-endeavour-los-angeles
['soulfood'],4ZmXcttDdx9KRGUi6tMWFQ,33.9985785,-118.3307743,$$,571.0,4.0,90043,Los Angeles,dulans-on-crenshaw-los-angeles
"['hotdog', 'burgers', 'vegan']",ITNAxP_RUZ_FCPFNt7pjmw,34.0156233070285,-118.334755915362,$$,350.0,4.5,90008,Los Angeles,earles-on-crenshaw-los-angeles
['breakfast_brunch'],Nj9DLT1ctsZQ_ebo4eBBfw,34.01242,-118.30925,$,212.0,4.5,90062,Los Angeles,jacks-family-kitchen-los-angeles
"['caribbean', 'seafood']",KGN01qTZPTOl2zvpfEgREA,33.9887,-118.33492,$$,282.0,4.5,90043,Los Angeles,grilled-fraiche-los-angeles
"['coffee', 'cafes']",WQTdQutYp6kdW4ZUT8cMkQ,34.031914,-118.293154,$,243.0,5.0,90007,Los Angeles,ignatius-cafe-los-angeles
['caribbean'],fDIERa8MupwJMTJ97upAPg,34.00574,-118.33183,$$,346.0,4.0,90008,Los Angeles,ackee-bamboo-jamaican-cuisine-los-angeles
"['caribbean', 'coffee', 'sandwiches']",f0HotMqLhsu6OMTJtZS0Fg,33.9931819482197,-118.328788260228,$,82.0,5.0,90037,Los Angeles,peckish-snack-bar-los-angeles
"['spanish', 'salvadoran']",Dv2vnZH0bqCEbGCH1xuPHA,34.0106463298803,-118.305942550926,$$,193.0,4.0,90062,Los Angeles,paseo-san-miguel-los-angeles-2
['gardens'],,,,,,,,,
"['indpak', 'himalayan', 'breakfast_brunch']",MngSqXZbc4-x8lZTby1SrA,34.0256549,-118.294352,$$,300.0,4.5,90007,Los Angeles,himalayan-house-los-angeles
['caribbean'],mQMCi60kT3UeVuDiOckG_w,34.017,-118.30854,$$,117.0,4.5,90062,Los Angeles,traceys-belizean-restaurant-los-angeles
"['burgers', 'tradamerican']",5iS625Otm9PWzw3AtefnNQ,33.9887819,-118.3213571,$,266.0,4.0,90043,Los Angeles,freds-downhome-burgers-los-angeles
"['sportsbars', 'tacos', 'venues']",w46a3cQ970NC3v-2Fw7xYw,34.0107222718441,-118.290144279599,$$,267.0,4.0,90037,Los Angeles,banditos-tacos-and-tequila-los-angeles
['hotdogs'],Fs7lKMANuifCyDjF99opRA,34.0166393,-118.2825753,$,416.0,4.0,90007,Los Angeles,chick-fil-a-los-angeles
"['coffee', 'vegan', 'venues']",DkHP7ysDXTks2JCBBNqIaA,34.004937696394,-118.331493213773,$$,102.0,4.5,90008,Los Angeles,hot-and-cool-cafe-los-angeles
"['cajun', 'southern', 'bars']",5oBl4waF3RT2b218OFTL4A,34.0254551,-118.327966,$$,869.0,3.5,90018,Los Angeles,harold-and-belles-los-angeles-5
