,zip_code,count,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,cluster
51,90061,34,24.823529411764707,30.6643598615917,26,8,0,0,0,0,2,5,2,7,4,5,4,5,25
52,90062,27,54.666666666666664,68.8395061728395,20,7,0,0,0,0,2,4,2,3,5,8,3,0,18
53,90063,85,70.62352941176471,84.74823529411765,68,17,0,0,0,0,5,8,4,7,12,28,16,5,18
54,90064,152,283.7368421052632,453.60560941828254,73,70,6,3,0,1,0,10,11,17,38,49,22,4,4
55,90065,90,98.57777777777778,112.81679012345678,77,13,0,0,0,1,3,7,6,8,11,21,22,11,20
56,90066,113,337.2920353982301,531.3095778839377,50,61,2,0,0,0,0,0,6,4,27,51,22,3,4
57,90067,94,207.59574468085106,377.64757808963327,28,55,11,0,0,0,0,2,2,20,29,29,8,4,4
58,90068,35,333.8,572.2285714285714,13,19,3,0,0,0,0,1,4,3,7,11,6,3,6
59,90069,185,505.25405405405405,1062.3990650109567,30,110,41,4,0,0,1,4,6,19,56,65,30,4,6
60,90077,14,135.71428571428572,319.8979591836735,2,6,5,1,0,0,0,0,0,0,3,8,2,1,15
61,90094,23,275.9130434782609,503.84120982986764,4,19,0,0,0,0,0,0,0,0,10,8,2,3,4
62,90201,157,75.54777070063695,94.31441437786523,120,35,2,0,0,1,7,14,23,18,28,38,22,6,27
63,90210,105,380.8,921.1733333333333,10,57,22,16,0,0,0,1,1,8,33,38,19,5,6
64,90211,48,504.2916666666667,1061.1137152777778,13,22,8,5,0,1,0,0,2,5,8,19,9,4,6
65,90212,78,294.5769230769231,649.5798816568048,14,41,16,7,0,0,1,1,2,8,18,32,14,2,6
66,90220,75,71.72,87.97653333333332,59,15,1,0,0,0,8,11,9,13,10,10,8,6,25
67,90221,72,39.0,42.79166666666667,65,7,0,0,0,0,5,6,4,8,18,15,10,6,27
68,90222,19,45.31578947368421,54.85595567867036,15,4,0,0,0,0,0,2,4,2,2,5,3,1,25
