id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
jNwvKHF5wdHGFRN5ztFPJw,34.0403175354004,-118.167694091797,$,225.0,4.0,90022,Los Angeles,el-gallo-bakery-los-angeles,['bakeries']
kOe5K96jTY5RqjANvWkTsg,34.013463,-118.122889,$,275.0,4.5,90640,Montebello,tonys-italian-deli-montebello,"['pizza', 'italian', 'delis']"
lc2XHUcKHyuqFReSPzKQ-g,34.0324366,-118.1544822,$,59.0,4.5,90022,Los Angeles,bobs-freeze-los-angeles,['icecream']
Rn7182mNAqtGszeW4K7TTQ,34.04085,-118.16592,$$,678.0,3.5,90022,Los Angeles,tamales-lilianas-los-angeles,['mexican']
4PNMra_UvU5FrHkX3gboZg,34.00768,-118.15923,$$,929.0,3.5,90040,Commerce,stevens-steak-and-seafood-house-commerce,"['steak', 'seafood', 'newamerican']"
UNhsuZmtqGA5X5_3_pGYUw,34.02252,-118.21658,$,354.0,4.5,90023,Los Angeles,tacos-y-birria-la-unica-los-angeles,"['tacos', 'foodtrucks']"
Trwdc23j_qHHK2xh4d85Qw,34.0143508911133,-118.158790588379,$,150.0,4.5,90022,Los Angeles,basket-burger-cafe-los-angeles,['tradamerican']
DLrMb6SPzOs6yG6IMhGtrg,34.03198,-118.13,$,481.0,3.5,90640,Montebello,j-and-s-montebello,"['mexican', 'burgers']"
hxeQWVYJn8ArNGzx1e491A,34.0534424,-118.136352,$$,390.0,4.0,91754,Monterey Park,daiki-sushi-restaurant-monterey-park-2,"['sushi', 'japanese']"
EiuGq6O22m2ZKpT5wCjvuw,34.02245,-118.15702,$,150.0,4.0,90022,Los Angeles,chili-and-lemon-thai-cuisine-los-angeles,"['thai', 'bbq', 'fooddeliveryservices']"
e7PzQIXK6ANzek1TtDcO2Q,34.05616,-118.13529,$$,896.0,3.5,91754,Monterey Park,duck-house-restaurant-monterey-park-2,"['chinese', 'seafood', 'asianfusion']"
KOEBuTODwdt7B2CgU58s3g,34.011004,-118.1370348,$,141.0,4.5,90022,Los Angeles,tacos-el-sapo-los-angeles,"['foodtrucks', 'mexican']"
adnRN7bxJMREMHxqPraNIQ,34.0208817,-118.1580429,$$,52.0,4.5,90022,Los Angeles,happy-bakery-los-angeles,['bakeries']
VbSOoZUSPGOF_YLUSuK98A,34.012313,-118.1590196,$,71.0,5.0,90023,Los Angeles,tacos-el-güerro-los-angeles-3,"['foodtrucks', 'mexican']"
ew7yhGIci2Pq4-Gc83vdig,34.0271591763953,-118.155232854187,$,30.0,5.0,90022,East Los Angeles,tacos-el-grillo-east-los-angeles,"['foodtrucks', 'mexican']"
sCFtWUo96yaE2JRaRyQ-oA,34.0376075,-118.1458935,$,90.0,4.5,91754,Monterey Park,its-boba-time-monterey-park,"['coffee', 'shavedice', 'juicebars']"
L51IIPRW6ipnGH38DIiZEw,34.0335682234219,-118.163615982804,$$,142.0,4.0,90022,East Los Angeles,phat-birds-east-los-angeles,"['chickenshop', 'chicken_wings']"
