id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
CcqraT0cuGKYEcZ1ri_kxg,34.0404035,-118.2535117,$$,689.0,5.0,90015,Los Angeles,broken-mouth-lees-homestyle-los-angeles-5,"['asianfusion', 'hawaiian', 'korean']"
mcHP3IfI1b7bXJZKD6PLHA,34.102039,-118.299858,$$,752.0,4.5,90027,Los Angeles,angry-chickz-los-angeles-2,"['southern', 'comfortfood', 'chickenshop']"
,,,,,,,,,['vietnamese']
b4SH4SbQUJfXxh6hNkF0wg,34.0505289,-118.2486189,$,5597.0,4.0,90013,Los Angeles,eggslut-los-angeles-7,['breakfast_brunch']
DrToq9357afdpOyO5w0Y5w,34.064009,-118.3007013,$$,1961.0,4.5,90020,Los Angeles,yup-dduk-la-los-angeles,['korean']
,,,,,,,,,['cafes']
omaJSGvnj2vaIJ_MBxeyBw,34.0322509474725,-118.334643803537,$,96.0,4.5,90018,Los Angeles,l-a-birria-los-angeles,"['mexican', 'foodtrucks']"
WjuO8PhtqINeWqm-ei8NQA,34.0693,-118.29253,$$,508.0,4.5,90020,Los Angeles,dumpling-house-los-angeles-2,"['korean', 'dimsum', 'noodles']"
qCJ2LFfNbXYBIcjXNva1cA,34.05609,-118.27658,$$,3624.0,4.5,90057,Los Angeles,langers-los-angeles-2,"['delis', 'sandwiches']"
,,,,,,,,,['pizza']
PQGsaaJ9YVL_Sgiy7aB70Q,34.06344,-118.29831,$,223.0,4.0,90020,Los Angeles,street-food-of-seoul-los-angeles,"['asianfusion', 'korean']"
eXZyAF5Xk1u-d9vnkeNPXg,34.041836309712,-118.259046916196,$$,1762.0,4.0,90015,Los Angeles,birdies-los-angeles-3,"['chickenshop', 'donuts', 'coffee']"
23Qrcz2i9e2e8MstUIIO0A,34.0621807,-118.348153,$$,1527.0,4.5,90036,Los Angeles,yuko-kitchen-los-angeles,['japanese']
PXYKRPkEcf4Mczfp_AfP0w,34.0725774690603,-118.214694509262,$,902.0,4.5,90031,Los Angeles,corn-man-los-angeles-3,"['foodstands', 'mexican']"
gEZzvxvK0VtlTXQKelsSxw,34.0983251117854,-118.329668986864,$$,143.0,4.5,90028,Los Angeles,waku-waku-sakebar-los-angeles,"['sushi', 'ramen', 'poke']"
,,,,,,,,,"['desserts', 'korean', 'coffee']"
f2Kf3p31IQMiFl2jHXrVaA,34.160466,-118.264551,$,1271.0,4.0,91202,Glendale,brick-and-flour-glendale-4,['mexican']
aQFguaddjBna3ZIBsxjeeA,34.072893,-118.37179,$$,2260.0,4.0,90048,Los Angeles,joans-on-third-los-angeles,"['breakfast_brunch', 'cafes']"
AxPJlSxkCJVJk3sSTL_8OA,34.0597229003906,-118.237022399902,$,6047.0,4.0,90012,Los Angeles,philippe-the-original-los-angeles,"['sandwiches', 'breakfast_brunch', 'tradamerican']"
sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles,"['burgers', 'vegan']"
